location,vaccine,Daily total_vaccinations,Total Vaccinations,new_date,Month,Year,Day Name,Month Name
Iceland,Pfizer/BioNTech,50739,0,2021-03-04,3,2021,Thursday,March
Iceland,Johnson&Johnson,0,0,2021-04-04,4,2021,Sunday,April
Iceland,Moderna,6717,0,2021-04-04,4,2021,Sunday,April
Iceland,Oxford/AstraZeneca,17257,0,2021-04-04,4,2021,Sunday,April
Iceland,Pfizer/BioNTech,50739,0,2021-04-04,4,2021,Sunday,April
Iceland,Johnson&Johnson,0,0,2021-05-04,5,2021,Tuesday,May
Iceland,Moderna,6717,0,2021-05-04,5,2021,Tuesday,May
Iceland,Oxford/AstraZeneca,17257,0,2021-05-04,5,2021,Tuesday,May
Iceland,Pfizer/BioNTech,50739,0,2021-05-04,5,2021,Tuesday,May
Iceland,Johnson&Johnson,0,0,2021-06-04,6,2021,Friday,June
Iceland,Moderna,6717,0,2021-06-04,6,2021,Friday,June
Iceland,Oxford/AstraZeneca,17258,0,2021-06-04,6,2021,Friday,June
Iceland,Pfizer/BioNTech,50739,0,2021-06-04,6,2021,Friday,June
Iceland,Johnson&Johnson,0,0,2021-07-04,7,2021,Sunday,July
Iceland,Moderna,6717,0,2021-07-04,7,2021,Sunday,July
Iceland,Oxford/AstraZeneca,18082,0,2021-07-04,7,2021,Sunday,July
Iceland,Pfizer/BioNTech,55031,0,2021-07-04,7,2021,Sunday,July
Iceland,Johnson&Johnson,0,0,2021-08-04,8,2021,Wednesday,August
Iceland,Moderna,6717,0,2021-08-04,8,2021,Wednesday,August
Iceland,Oxford/AstraZeneca,22385,0,2021-08-04,8,2021,Wednesday,August
Iceland,Pfizer/BioNTech,57369,0,2021-08-04,8,2021,Wednesday,August
Iceland,Johnson&Johnson,0,0,2021-09-04,9,2021,Saturday,September
Iceland,Moderna,8155,0,2021-09-04,9,2021,Saturday,September
Iceland,Oxford/AstraZeneca,22755,0,2021-09-04,9,2021,Saturday,September
Iceland,Pfizer/BioNTech,57865,0,2021-09-04,9,2021,Saturday,September
Iceland,Johnson&Johnson,0,0,2021-10-04,10,2021,Monday,October
Iceland,Moderna,8155,0,2021-10-04,10,2021,Monday,October
Iceland,Oxford/AstraZeneca,23268,0,2021-10-04,10,2021,Monday,October
Iceland,Pfizer/BioNTech,57884,0,2021-10-04,10,2021,Monday,October
Iceland,Johnson&Johnson,0,0,2021-11-04,11,2021,Thursday,November
Iceland,Moderna,8155,0,2021-11-04,11,2021,Thursday,November
Iceland,Oxford/AstraZeneca,23268,0,2021-11-04,11,2021,Thursday,November
Iceland,Pfizer/BioNTech,57885,0,2021-11-04,11,2021,Thursday,November
Iceland,Johnson&Johnson,0,0,2021-12-04,12,2021,Saturday,December
Iceland,Moderna,8155,0,2021-12-04,12,2021,Saturday,December
Iceland,Oxford/AstraZeneca,23290,0,2021-12-04,12,2021,Saturday,December
Iceland,Pfizer/BioNTech,57886,0,2021-12-04,12,2021,Saturday,December
Iceland,Johnson&Johnson,0,0,2021-04-13,4,2021,Tuesday,April
Iceland,Moderna,8155,0,2021-04-13,4,2021,Tuesday,April
Iceland,Oxford/AstraZeneca,23310,0,2021-04-13,4,2021,Tuesday,April
